"MaMon","TenMon","SoTinChi","Loai","MoTa"
"ELE1330","Xử lý tín hiệu số","2","Bat buoc","Học môn này để phân tích, lọc và xử lý tín hiệu trong các ứng dụng số."
"ELE1416","Kỹ thuật logic khả trình PLC","2","Bat buoc","Học môn này để thiết kế mạch số và phát triển hệ thống logic."
"ELE1401","CAD/CAM","2","Bat buoc","Học môn này để dùng công cụ thiết kế hỗ trợ máy tính cho mạch và hệ thống điện tử."
"ELE1426","Thiết kế logic số","3","Bat buoc","Học môn này để thiết kế mạch số và phát triển hệ thống logic."
"ELE1317","Kỹ thuật vi xử lý","3","Bat buoc","Học môn này để thiết kế, lập trình và giao tiếp phần cứng cho hệ thống nhúng."
"ELE1304","Cơ sở điều khiển tự động","3","Bat buoc","Học môn này để mô hình hóa và thiết kế bộ điều khiển cho hệ thống tự động."
"ELE1433","Kỹ thuật số","2","Bat buoc","Học môn này để nắm nền tảng mạch số và thiết kế hệ thống số cơ bản."
"ELE1439","Xây dựng hệ thống số","3","Bat buoc","Học môn này để thiết kế mạch số và phát triển hệ thống logic."
"ELE1438","Xử lý tín hiệu trong hệ thống truyền thông","3","Bat buoc","Học môn này để phân tích, lọc và xử lý tín hiệu trong các ứng dụng số."
"ELE1305","Cơ sở đo lường điện tử","2","Bat buoc","Học môn này để đo kiểm tín hiệu và đánh giá đặc tính của mạch điện tử."
"ELE13105","Linh kiện và mạch điện tử","3","Bat buoc","Học môn này để hiểu linh kiện và phân tích, thiết kế mạch điện tử cơ bản."
"ELE13100","Cấu kiện điện tử","3","Bat buoc","Học môn này để hiểu linh kiện và phân tích, thiết kế mạch điện tử cơ bản."
"ELE1318","Lý thuyết mạch","3","Bat buoc","Học môn này để hiểu linh kiện và phân tích, thiết kế mạch điện tử cơ bản."
"ELE1320","Lý thuyết trường điện từ và siêu cao tần","3","Bat buoc","Học môn này để hiểu trường điện từ và ứng dụng trong hệ thống cao tần."
"ELE1319","Lý thuyết thông tin","3","Bat buoc","Học môn này để hiểu các nguyên lý mã hóa và truyền tin trong hệ thống số."
